Id,class1,class2
1,chordophone,chrd_simple
2,chordophone,chrd_composite
3,aerophone,aero_lip-vibrated
4,aerophone,aero_lip-vibrated
5,chordophone,chrd_simple
6,aerophone,aero_lip-vibrated
7,aerophone,aero_lip-vibrated
8,chordophone,chrd_composite
9,aerophone,aero_lip-vibrated
10,aerophone,aero_lip-vibrated
11,aerophone,aero_lip-vibrated
12,aerophone,aero_lip-vibrated
13,aerophone,aero_side
14,aerophone,aero_single-reed
15,aerophone,aero_lip-vibrated
16,aerophone,aero_lip-vibrated
17,chordophone,chrd_simple
18,aerophone,aero_lip-vibrated
19,chordophone,chrd_composite
20,aerophone,aero_single-reed
21,aerophone,aero_single-reed
22,aerophone,aero_double-reed
23,chordophone,chrd_simple
24,chordophone,chrd_simple
25,chordophone,chrd_simple
26,aerophone,aero_double-reed
27,aerophone,aero_lip-vibrated
28,aerophone,aero_lip-vibrated
29,aerophone,aero_lip-vibrated
30,aerophone,aero_single-reed
31,aerophone,aero_single-reed
32,aerophone,aero_single-reed
33,aerophone,aero_lip-vibrated
34,aerophone,aero_side
35,aerophone,aero_side
36,chordophone,chrd_composite
37,aerophone,aero_side
38,aerophone,aero_side
39,aerophone,aero_free-reed
40,aerophone,aero_lip-vibrated
41,aerophone,aero_double-reed
42,aerophone,aero_single-reed
43,chordophone,chrd_composite
44,aerophone,aero_side
45,aerophone,aero_single-reed
46,chordophone,chrd_simple
47,aerophone,aero_lip-vibrated
48,aerophone,aero_double-reed
49,aerophone,aero_lip-vibrated
50,chordophone,chrd_simple
51,aerophone,aero_lip-vibrated
52,aerophone,aero_lip-vibrated
53,chordophone,chrd_composite
54,aerophone,aero_lip-vibrated
55,aerophone,aero_single-reed
56,aerophone,aero_lip-vibrated
57,chordophone,chrd_composite
58,aerophone,aero_side
59,aerophone,aero_lip-vibrated
60,chordophone,chrd_composite
61,aerophone,aero_lip-vibrated
62,aerophone,aero_lip-vibrated
63,chordophone,chrd_composite
64,chordophone,chrd_composite
65,chordophone,chrd_composite
66,aerophone,aero_lip-vibrated
67,aerophone,aero_double-reed
68,aerophone,aero_lip-vibrated
69,aerophone,aero_single-reed
70,chordophone,chrd_composite
71,chordophone,chrd_simple
72,chordophone,chrd_composite
